Place Name,Mode of transportation by Volunteer,Popular ,Is Live data available,Geo Location of the place
Green canteen cluster - 600m,,,,
7-eleven,Bicycle,yes,yes,"https://www.google.com/maps/place/7-Eleven/@14.0723829,100.6013815,18z/data=!4m5!3m4!1s0x30e27feb38ae2ca7:0x22feb72ce920a362!8m2!3d14.0738772!4d100.6013155"
Puey Library,Bicycle,yes,yes,"https://www.google.com/maps/place/Puey+Ungphakorn+Library/@14.0723829,100.6013815,18z/data=!4m5!3m4!1s0x30e27feb8faaaaab:0x7ce069aa618f73ff!8m2!3d14.0711789!4d100.602264"
Green canteen,Bicycle,yes,yes,"https://www.google.com/maps/place/Green+Canteen/@14.0723829,100.6013815,18z/data=!4m5!3m4!1s0x30e27feb15ae2ddd:0xbc170ef244aee183!8m2!3d14.0733468!4d100.6011404"
Khlong Luang Post Office ait,Bicycle  (?),yes,yes,"https://www.google.com/maps/place/Khlong+Luang+Post+Office/@14.0773844,100.6181358,18z/data=!4m5!3m4!1s0x30e27f8afbbe386d:0x3fc8827fc68d9510!8m2!3d14.0771901!4d100.6173031"
,,,,
Rangsit future park area - path ~600m,,,,
big C,Bus/Taxi/Van,yes,yes,"https://www.google.com/maps/place/Big+C+Rangsit/@13.986438,100.6140395,17z/data=!4m12!1m6!3m5!1s0x30e299865e94f839:0x6c2fe07e58637d60!2sFuture+Park+Rungsit!8m2!3d13.9893426!4d100.617859!3m4!1s0x30e281d8428245af:0xe379d12b15a9ae9d!8m2!3d13.9907642!4d100.6185376"
ROBINSON,Bus/Taxi/Van,yes,yes,"https://www.google.com/maps/place/Robinson+Department+Store/@13.986438,100.6140395,17z/data=!3m1!5s0x30e281d8ceff72fb:0xd4532d96bfa09b29!4m12!1m6!3m5!1s0x30e299865e94f839:0x6c2fe07e58637d60!2sFuture+Park+Rungsit!8m2!3d13.9893426!4d100.617859!3m4!1s0x0:0xe53e6c8ef3a8e7a!8m2!3d13.9902157!4d100.6165896"
INDEX LIVING,Bus/Taxi/Van,yes,yes,"https://www.google.com/maps/place/Index+Living+Mall/@13.9892489,100.6131705,17z/data=!4m12!1m6!3m5!1s0x30e299865e94f839:0x6c2fe07e58637d60!2sFuture+Park+Rungsit!8m2!3d13.9893426!4d100.617859!3m4!1s0x30e281d843d55259:0x10f44477f412d7cc!8m2!3d13.991683!4d100.6178979"
HOME PRO,Bus/Taxi/Van,yes,yes,"https://www.google.com/maps/place/HomePro+Rangsit/@13.9915206,100.6158766,17.25z/data=!4m12!1m6!3m5!1s0x30e27feca698b151:0x7ed3dba77a3914eb!2sTU+Dome+Plaza!8m2!3d14.0651511!4d100.6003895!3m4!1s0x30e281d858dc2fb1:0xc1b732b95b879867!8m2!3d13.9922243!4d100.6168914"
,,,,
Khon Luang cluster,,,New Selected Place,"https://www.google.com/maps/place/14%C2%B003'54.5%22N+100%C2%B037'05.2%22E/@14.0651504,100.6159169,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d14.0651504!4d100.6181056?hl=en"
Thai name place,,yes,yes,"https://www.google.com/maps/place/%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%B1%E0%B8%99/@14.0656962,100.6185577,18z/data=!4m5!3m4!1s0x311d816aaaaaaaab:0xf886de0d284d2a56!8m2!3d14.0652625!4d100.6186033"
Tesco Lotus Khlong Luang,Taxi,yes,yes,"https://www.google.com/maps/place/Tesco+Lotus+Khlong+Luang/@14.0641669,100.6269454,14.75z/data=!4m5!3m4!1s0x311d800e6a6e1e59:0x71fb616c2450db78!8m2!3d14.0666974!4d100.6293368"
Makro,Taxi,yes,yes,"https://www.google.com/maps/place/Makro+supermarket/@14.0641372,100.6282306,15.5z/data=!4m5!3m4!1s0x0:0xe57d3032ac0092d3!8m2!3d14.0670278!4d100.6331563"
Honda dealer,,yes,yes,"https://www.google.com/maps/place/MG+KP+Auto/@14.0641372,100.6282306,15z/data=!4m12!1m6!3m5!1s0x0:0xe57d3032ac0092d3!2sMakro+supermarket!8m2!3d14.0670278!4d100.6331563!3m4!1s0x311d8011006c79b7:0x67cfe5dd7279db2!8m2!3d14.0649958!4d100.6337973"